,0
1005,EMKR
1006,ENTA
1007,ECPG
1008,WIRE
1009,ENDP
1010,ELGX
1011,NDRA
1012,NDRAW
1013,EIGI
1014,WATT
1015,EFOI
1016,ERII
1017,ENG
1018,ENLV
1019,ENOB
1020,ENPH
1021,ESGR
1022,ESGRO
1023,ESGRP
1024,ETTX
1025,ENTG
1026,ENTX
1027,ENTXW
1028,EBTC
1029,EFSC
1030,EVSI
1031,EVSIW
1032,EPZM
1033,PLUS
1034,EPSN
1035,EQ
1036,EQIX
1037,EQBK
1038,ERIC
1039,ERIE
1040,ERYP
1041,ESCA
1042,ESPR
1043,GMBL
1044,GMBLW
1045,ESQ
1046,ESSA
1047,EPIX
1048,ESTA
1049,VBND
1050,VUSE
1051,VIDI
1052,ETON
1053,ETSY
1054,CLWT
1055,EDRY
1056,EEFT
1057,ESEA
1058,EVLO
1059,EVBG
1060,EVK
1061,EVER
1062,MRAM
1063,EVOP
1064,EVFM
1065,EVGN
1066,EVOK
1067,EOLS
1068,EVOL
1069,EXAS
1070,XGN
1071,ROBO
1072,XELA
1073,EXEL
1074,EXC
1075,EXFO
1076,XCUR
1077,EXLS
1078,EXPI
1079,EXPE
1080,EXPD
1081,EXPC
1082,EXPCU
1083,EXPCW
1084,EXPO
1085,STAY
1086,EXTR
1087,EYEG
1088,EYEGW
1089,EYEN
1090,EYPT
1091,EZPW
1092,FLRZ
1093,FFIV
1094,FB
1095,FLMN
1096,FLMNW
1097,DUO
1098,FANH
1099,FARM
1100,FMAO
1101,FMNB
1102,FAMI
1103,FARO
1104,FAST
1105,FAT
1106,FATE
1107,FBSS
1108,FNHC
1109,FENC
1110,GSM
1111,FFBW
1112,FGEN
1113,FDBC
1114,ONEQ
1115,FDUS
1116,FDUSG
1117,FDUSL
1118,FDUSZ
1119,FRGI
1120,FITB
1121,FITBI
1122,FITBO
1123,FITBP
1124,FISI
1125,FNJN
1126,FSRV
1127,FSRVU
1128,FSRVW
1129,FTAC
1130,FTACU
1131,FTACW
1132,FEYE
1133,FBNC
1134,FNLC
1135,FRBA
1136,BUSE
1137,FBIZ
1138,FCAP
1139,FCBP
1140,FCNCA
1141,FCNCP
1142,FCBC
1143,FCCO
1144,FFBC
1145,FFIN
1146,THFF
1147,FFNW
1148,FFWM
1149,FGBI
1150,FHB
1151,INBK
1152,INBKL
1153,INBKZ
1154,FIBK
1155,FRME
1156,FMBH
1157,FMBI
1158,FMBIO
1159,FMBIP
1160,FXNC
1161,FNWB
1162,FSFG
1163,FSEA
1164,FSLR
1165,FAAR
1166,FPA
1167,BICK
1168,FBZ
1169,FTHI
1170,FCAL
1171,FCAN
1172,FTCS
1173,FCEF
1174,FCA
1175,SKYY
1176,RNDM
1177,FDT
1178,FDTS
1179,FVC
1180,FV
1181,IFV
1182,DDIV
1183,DVOL
1184,DVLU
1185,DWPP
1186,DALI
1187,FDNI
1188,FEM
1189,RNEM
1190,FEMB
1191,FEMS
1192,FTSM
1193,FEP
1194,FEUZ
1195,FGM
1196,FTGC
1197,FTLB
1198,HYLS
1199,FHK
1200,NFTY
1201,FTAG
1202,FTRI
1203,LEGR
1204,NXTG
1205,FPXI
1206,FPXE
1207,FJP
1208,FEX
1209,FTC
1210,RNLC
1211,FTA
1212,FLN
1213,LMBS
1214,LDSF
1215,FMB
1216,FMK
1217,FNX
1218,FNY
1219,RNMC
1220,FNK
1221,FAD
1222,FAB
1223,MDIV
1224,MCEF
1225,FMHI
1226,QABA
1227,ROBT
1228,FTXO
1229,QCLN
1230,GRID
1231,CIBR
1232,FTXG
1233,CARZ
1234,FTXN
1235,FTXH
1236,FTXD
1237,FTXL
1238,TDIV
1239,FTXR
1240,QQEW
1241,QQXT
1242,QTEC
1243,AIRR
1244,RDVY
1245,RFAP
1246,RFDI
1247,RFEM
1248,RFEU
1249,FID
1250,FTSL
1251,FYX
1252,FYC
1253,RNSC
1254,FYT
1255,SDVY
1256,FKO
1257,FCVT
1258,FDIV
1259,FSZ
1260,FIXD
1261,TUSA
1262,FKU
1263,RNDV
1264,FUNC
1265,FUSB
1266,MYFW
1267,FCFS
1268,SVVC
1269,FSV
1270,FISV
1271,FIVE
1272,FPRX
1273,FVE
1274,FIVN
1275,FLEX
1276,FLXN
1277,SKOR
1278,MBSD
1279,ASET
1280,ESG
1281,ESGG
1282,LKOR
1283,QLC
1284,FPAY
1285,FLXS
1286,FLIR
1287,FLWR
1288,FLNT
1289,FLDM
1290,FFIC
1291,FLUX
1292,FNCB
1293,FOCS
1294,FONR
1295,FSCT
1296,FRSX
1297,FMTX
1298,FORM
1299,FORTY
1300,FORR
1301,FBRX
1302,FRTA
1303,FTNT
1304,FBIO
1305,FBIOP
1306,FMCI
1307,FMCIU
1308,FMCIW
1309,FWRD
1310,FORD
1311,FWP
1312,FOSL
1313,FOX
1314,FOXA
1315,FOXF
1316,FRAN
1317,FRG
1318,FELE
1319,FRAF
1320,FRHC
1321,RAIL
1322,FEIM
1323,FREQ
1324,FRPT
1325,FTDR
1326,FRPH
1327,FSBW
1328,HUGE
1329,FTEK
1330,FCEL
1331,FULC
1332,FLGT
1333,FORK
1334,FLL
1335,FMAX
1336,FULT
1337,FNKO
1338,FUSN
1339,FUTU
1340,FTFT
1341,FFHL
1342,FVCB
1343,WILC
1344,GTHX
1345,GAIA
1346,GLPG
1347,GALT
1348,GRTX
1349,GLMD
1350,GMDA
1351,GLPI
1352,GAN
1353,GRMN
1354,GARS
1355,GLIBA
1356,GLIBP
1357,GDS
1358,GNSS
1359,GENC
1360,GFN
1361,GFNCP
1362,GFNSL
1363,GBIO
1364,GENE
1365,GTH
1366,GNFT
1367,GNUS
1368,GMAB
1369,GNMK
1370,GNCA
1371,GNPX
1372,GNTX
1373,THRM
1374,GEOS
1375,GABC
1376,GERN
1377,GEVO
1378,ROCK
1379,GIGM
1380,GIII
1381,GILT
1382,GILD
1383,GBCI
1384,GLAD
1385,GLADD
1386,GLADL
1387,GOOD
1388,GOODM
1389,GOODN
1390,GAIN
1391,GAINL
1392,GAINM
1393,LAND
1394,LANDP
1395,GLBZ
1396,GBT
1397,ENT
1398,GBLI
1399,GBLIL
1400,GBLIZ
1401,SELF
1402,GWRS
1403,AIQ
1404,DRIV
1405,POTX
1406,CLOU
1407,KRMA
1408,BUG
1409,DAX
1410,EBIZ
1411,FINX
1412,CHIC
1413,GNOM
1414,BFIT
1415,SNSR
1416,LNGR
1417,MILN
1418,EFAS
1419,QYLD
1420,BOTZ
1421,CATH
1422,CEFA
1423,SOCL
1424,ALTY
1425,SRET
1426,GXTG
1427,HERO
